variety,unit,height ,productive,unproductive
V1,P1,102,14,2
V1,P2,102,17,1
V1,P3,101,15,1
V1,P4,101,15,0
V1,P5,100,17,4
V1,P6,101,15,0
V1,P7,99,10,2
V1,P8,100,20,1
V1,P9,100,23,3
V1,P10,101,26,2
V1,P1,106,20,2
V1,P2,105,22,1
V1,P3,105,21,2
V1,P4,101,32,4
V1,P5,103,26,0
V1,P6,108,34,0
V1,P7,103,42,4
V1,P8,102,23,2
V1,P9,103,22,0
V1,P10,102,25,0
V1,P1,99,15,1
V1,P2,90,20,5
V1,P3,99,22,1
V1,P4,100,22,4
V1,P5,99,18,2
V1,P6,90,19,0
V1,P7,90,15,5
V1,P8,101,25,3
V1,P9,98,28,3
V1,P10,100,25,8
V2,P1,102,33,0
V2,P2,105,32,1
V2,P3,102,30,0
V2,P4,103,20,0
V2,P5,101,31,0
V2,P6,102,23,1
V2,P7,102,19,2
V2,P8,103,18,2
V2,P9,103,19,0
V2,P10,102,20,1
V2,P1,111,15,3
V2,P2,110,21,2
V2,P3,108,29,4
V2,P4,106,18,1
V2,P5,104,19,5
V2,P6,112,22,1
V2,P7,110,18,0
V2,P8,110,23,8
V2,P9,101,22,1
V2,P10,115,20,2
V2,P1,108,31,1
V2,P2,111,46,3
V2,P3,100,23,4
V2,P4,103,20,4
V2,P5,105,33,3
V2,P6,107,31,4
V2,P7,108,29,2
V2,P8,105,17,0
V2,P9,111,26,2
V2,P10,111,21,2
